Designator,Footprint,Quantity,Value,LCSC Part #
BT1,LPM0940,1,LiPo Cell,
"C1, C2, C3, C4",0402,4,1µF,
D1,DIO_VEMD4110X01,1,D_Photo,
D2,0201,1,LED,
Q1,SOT-323_SC-70 - thin,1,Q_NMOS_GSD,
R1,0402,1,1M,
TP2,1mm pad x4,1,UPDI Pogo Pads,
U1,VQFN40-RKP_TEX,1,LP5868TRKPR,
U2,ATtiny3226,1,ATtiny3226,
U3,XC61G_USP-3_TOR,1,XC61GC3002HR-G,
