Designator,Mid X,Mid Y,Rotation,Layer
C1,104.18,-84.42,180.0,top
C2,100.44,-76.62,180.0,top
C3,117.69,-73.28,270.0,top
D1,109.73,-77.7125,270.0,top
D2,111.4575,-75.35,180.0,top
J1,88.445,-81.7,270.0,top
J2,105.67,-75.22,0.0,top
R1,112.41,-78.78,0.0,top
SW2,113.32,-68.42,180.0,top
TP4,116.145,-79.44,180.0,top
U1,97.245,-81.37,180.0,top
U2,115.07,-73.42,270.0,top
