Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0805,3,100nF,
D1,D_SOD-323,1,D_Schottky,
D2,0603,1,LED,
J1,CUI_UJ2-MIBH-G-SMT-TR,1,USB_B_Micro,
J2,PinSocket_1x06_P2.54mm_Vertical_SMD_Pin1Right,1,UPDI socket,
R1,0805,1,470,
SW2,CL-SB-12B-01_NDC,1,SW_SPDT,
TP4,1mm pad x4,1,UPDI Pogo Pads,
U1,SOP-16_3.9x9.9mm_P1.27mm,1,CH340C,
U2,LTC4126-10,1,LTC4126EV-10_TRMPBF,
